"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "JavaScript JSX", "Properties", "Markdown", "XML", "HTML", "WebAssembly Text Format", "Rust", "Ignore", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_trezor_connect-web_lib_index_js.js", "JavaScript", 0, 1913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1158, 1150, 4221
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_walletconnect_ethereum-provider_dist_index_es_js.js", "JavaScript", 0, 787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491, 481, 1759
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_walletconnect_modal-ui_dist_index_js.js", "JavaScript", 0, 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419, 412, 1491
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_walletconnect_modal_dist_index_js.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 52
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/[id].js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 39
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/_app.js", "JavaScript", 0, 14995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8896, 8946, 32837
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/_error.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/index.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 61, 236
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/lobby.js", "JavaScript", 0, 1806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1089, 1080, 3975
"/Users/admin/Downloads/updated-code/.next/static/chunks/pages/profile.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 103
"/Users/admin/Downloads/updated-code/.next/static/chunks/polyfills.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/admin/Downloads/updated-code/.next/static/chunks/react-refresh.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 62
"/Users/admin/Downloads/updated-code/.next/static/chunks/webpack.js", "JavaScript", 0, 1197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 1316
"/Users/admin/Downloads/updated-code/.next/static/development/_buildManifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/development/_ssgManifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/0cd4844d0c87b1cc.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/0cdca723ceaf6c16.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/0dcd72f2329fca5f.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/16c18e8574849fc0.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/19281ae59324f98d.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/1a747414647f169c.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/1c1990d71eb88885.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/281fa21d75ba180b.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/2ade8fbae200b6c4.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/368bb2c472339187.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/394adb36a15e75b9.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/3981bfb65659993a.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/3e04793c3b3b604f.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/3f1098b4fe2c37b5.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/430437093d9eeea5.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/43e5de8277aa4b37.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/4f54da32a36500df.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/5b1555628fe22d61.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/5bcb778afb135679.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/633457081244afec._.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/65a2f54ddfc8db83.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/6a58702b11c7f0db.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/7277fd584cf8e9ff.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/796a9fc9cd7d1ecf.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/868e18ff6a833d97.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/8a7c574514a1f9b5.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/8d0c2546da92fb07.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/8fc1ec2daeaf7976.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/9717cf3ed686995c.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/Downloads/updated-code/.next/static/webpack/a326e888f9b33b22.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
